1,AAB
2,"Amazon Prime"
3,Amex
4,Bluehost
5,"Car Insurance"
6,"Car Maintenance"
7,"Cell Phone Service"
8,Charter
9,Costco
10,"Double Edge"
11,Fitness
12,Food
13,FreeCodeCamp
14,Gas
15,Godaddy
16,Healthcare
17,Income
18,Lastpass
19,"Life Lock"
20,Lynda
21,Misc
22,Movies
23,Netflix
24,"NV Energy"
25,Rent
26,Shopping
27,TMWA
28,Transfer
29,TurboTax
30,Uber
31,Vacation
32,"Waste Management"
